main_class_id|binary_class_id|num_active_effects|de_noise_reg|dynamic_reg|eq_reg|de_esser_reg|reverb_reg|limiter_reg|mean_reg|de_noise_profile|dynamic_profile|eq_profile|de_esser_profile|reverb_profile|limiter_profile|merged_profile
0|0|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|p0|p0|p0|p0|p0|p0|p0-p0-p0-p0-p0-p0
1|1|1|0.0|0.0|0.0|0.0|0.0|1.0|0.1666666666666666|p0|p0|p0|p0|p0|p1|p0-p0-p0-p0-p0-p1
2|2|1|0.0|0.0|0.0|0.0|0.3333333333333333|0.0|0.0555555555555555|p0|p0|p0|p0|p1|p0|p0-p0-p0-p0-p1-p0
3|3|2|0.0|0.0|0.0|0.0|0.3333333333333333|1.0|0.2222222222222222|p0|p0|p0|p0|p1|p1|p0-p0-p0-p0-p1-p1
4|2|1|0.0|0.0|0.0|0.0|0.6666666666666666|0.0|0.1111111111111111|p0|p0|p0|p0|p2|p0|p0-p0-p0-p0-p2-p0
5|3|2|0.0|0.0|0.0|0.0|0.6666666666666666|1.0|0.2777777777777777|p0|p0|p0|p0|p2|p1|p0-p0-p0-p0-p2-p1
6|2|1|0.0|0.0|0.0|0.0|1.0|0.0|0.1666666666666666|p0|p0|p0|p0|p3|p0|p0-p0-p0-p0-p3-p0
7|3|2|0.0|0.0|0.0|0.0|1.0|1.0|0.3333333333333333|p0|p0|p0|p0|p3|p1|p0-p0-p0-p0-p3-p1
8|4|1|0.0|0.0|0.0|0.5|0.0|0.0|0.0833333333333333|p0|p0|p0|p1|p0|p0|p0-p0-p0-p1-p0-p0
9|5|2|0.0|0.0|0.0|0.5|0.0|1.0|0.25|p0|p0|p0|p1|p0|p1|p0-p0-p0-p1-p0-p1
10|6|2|0.0|0.0|0.0|0.5|0.3333333333333333|0.0|0.1388888888888888|p0|p0|p0|p1|p1|p0|p0-p0-p0-p1-p1-p0
11|7|3|0.0|0.0|0.0|0.5|0.3333333333333333|1.0|0.3055555555555555|p0|p0|p0|p1|p1|p1|p0-p0-p0-p1-p1-p1
